Molecule+Basis  #Excitation Ops  VQE reference        Adaptive VQE         #iterations   #Perc of Params
H2 STO-3G       3                -1.8572750302023795  -1.8572750302023797  1             33%
H2 6-31G        15               -1.8715833143856178  -1.8715833143796927  9             60%
H3+ STO-3G      8                -3.173681772806102   -3.1736817728065163  6             75%
H3- STO-3G      8                -2.8540300666761445  -2.8540300666757084  5             62%
